idx,seed,fs,T,f,snr,theta,phi,psi,iota,tau,FH_plus,FH_cross,FL_plus,FL_cross,n_star
1,1338,4096.0,1.0,363.8564657463784,63.44429211325164,1.8825507816284737,2.009354410577002,1.921013703613535,2.134454047418801,0.0061819083115932,-0.6245400210307019,-0.1665054597012665,-0.5934385488435081,0.0229143008680138,2.0
2,1339,4096.0,1.0,184.2036130822348,49.04330937171452,2.291741388137434,1.7790849234695758,6.003436357066342,2.815431869652464,0.0021248942325956,0.3381657553546395,-0.8113568807219305,0.2683418893396865,-0.3050787941130342,2.0
3,1340,4096.0,1.0,17.655339568556407,61.779984762830765,1.4868231733261623,5.30187963311243,1.7196444423725696,2.4401030099465215,-0.0080625588052481,-0.3649412745755094,-0.3495097777447548,-0.2316933574152772,-0.6625656834726394,32.0
4,1341,4096.0,1.0,13.21126298062665,29.473447259964335,0.6230690050269421,0.6697235462002059,4.064600040779358,1.966759786607907,0.0025503311196833,0.0140362123446783,-0.5485579727707166,-0.5849287181619504,0.4314297267195592,2.0
5,1342,4096.0,1.0,663.9711720628057,52.42147391927587,2.952735638127878,4.337098776197472,3.5855543205660947,0.4767393012336581,-0.0049975634701185,0.6182701461614161,-0.4924523298465334,0.4881354586331584,0.4688283777379425,0.5
6,1343,4096.0,1.0,381.6917704754495,43.7711617523175,0.7119852825488534,3.6887897395699953,5.367116025958683,1.335203621658411,0.0054753701360498,0.6206383932974887,0.6685456187217859,0.4264520971130432,-0.0083968785042277,1.0
7,1344,4096.0,1.0,31.51437229900329,29.664604179720076,1.0677687574342607,0.1730616462265,3.2306923937087806,1.7003554875485591,-0.0029594328508328,-0.2510585355495059,-0.4539688884181853,0.2549586419857622,0.5015241971013624,16.0
8,1345,4096.0,1.0,230.01125242616033,69.786001792116,2.303935981373634,4.8327678783274655,2.902266015330446,1.3258371091612569,-0.0077816702802946,0.3741094154589776,-0.224228063570971,0.9403355858227884,0.2626723563369632,0.5
9,1346,4096.0,1.0,146.41441657146262,33.41846010954857,2.4995149043645877,3.1031015276225293,2.9445713940308496,2.3272436902818057,0.0006178356328405,0.0104852072873348,0.6945656584675984,-0.2039353434979075,-0.3700299976319612,1.0
10,1347,4096.0,1.0,13.278821106028577,27.30695088253284,0.5908754580014327,3.411491590806637,5.869589211216241,1.4948095506288288,0.0067266502363327,-0.6360982629041675,0.6264478699073136,-0.0361488963648953,0.4841205435904684,8.0
11,1348,4096.0,1.0,125.87460985128054,95.49697887995204,2.358478882254836,2.338888292484247,5.601524914054418,1.701005517085289,0.0029715775658004,0.4291085276443112,-0.6336825470393096,-0.0414050280366723,-0.0818302891928173,1.0
12,1349,4096.0,1.0,87.45007512623745,39.57322425057851,1.0661955481443983,5.956466443330938,5.671130036991014,1.9272943525925044,-0.0051098173086572,-0.3788616513695558,-0.2791447462573452,0.4193679844198786,0.0038482192557465,8.0
13,1350,4096.0,1.0,42.793953446970065,85.17674791925683,1.5802579687825935,0.2453244331129356,0.2209749590991349,0.9317585540336654,-0.0054505818732401,-0.2713579157578625,-0.4205988009005448,0.1608749335400669,0.3244439718568672,64.0
14,1351,4096.0,1.0,152.71180611034853,22.920791768529085,1.3645474134402782,4.496739207346153,3.6506025297275366,1.442703851956016,-0.0029011540339227,-0.4316929039933485,0.4623049464901596,0.003696193818187,0.7577908430871982,1.0
15,1352,4096.0,1.0,375.0494496680005,58.827619229445375,1.8492215124604177,6.161296092331411,6.008644480945308,1.7086200810629892,-0.0085536815635971,-0.2473601443385519,0.2686586855008935,0.1821999023157526,0.3140085347534456,16.0
16,1353,4096.0,1.0,26.152001404175568,16.871291593161896,1.494603608271066,1.4180242381188906,0.4270820912710522,1.4262757053316717,0.0047550196074484,0.4109569106284491,-0.1052337052869037,0.8445016588571476,0.2894358265963814,0.5
17,1354,4096.0,1.0,437.15491569755113,35.1919896429067,1.5318340263989385,4.872381698059306,2.192365826480771,1.746298378507254,-0.0063969890295933,0.2522785742927976,-0.5128536789822118,0.2991531685687952,-0.7801365695115535,64.0
18,1355,4096.0,1.0,19.218107667061453,96.05892755431348,1.4726833613612589,1.4233237484186927,5.0339220742454645,1.6105476245442762,0.0048874990278165,-0.3707439163765842,0.1727034611059099,-0.8954063819789004,-0.1072053306013906,8.0
19,1356,4096.0,1.0,870.0681366931174,92.54964882567027,0.7462784659063926,2.6377804135534313,2.1140099893548627,2.186820428279825,0.009326019907452,-0.5681083899642594,0.3621395898913482,-0.3741622812236618,0.5566603661323436,2.0
20,1357,4096.0,1.0,581.0731374928145,83.93570756987731,1.0543758873798443,0.7805425176964293,2.2378105194824465,1.8875487809606584,0.0013563192154093,0.0167061120155781,0.3326098871142151,-0.0124054278035987,-0.794155429814779,8.0
21,1358,4096.0,1.0,13.2316153080867,92.27446940713791,1.974334630542008,0.4857449227733244,6.208056126949572,1.1299258751467312,-0.0050848124890325,-0.6612915308650903,-0.2789187952780719,0.1026657355026905,-0.1681264439539016,2.0
22,1359,4096.0,1.0,18.33818519770259,81.85639565712128,1.0307307560321293,3.5417191203012877,5.317672352669583,0.9717741552291468,0.0060079604444393,0.5008008655091123,0.5636055001970652,0.1738632786827003,-0.0296044039567497,64.0
23,1360,4096.0,1.0,201.1494428024226,88.11368792805384,0.4038727229311045,4.268079689460639,0.9148950007196968,0.81510186007357,0.0034302389716826,-0.9283482723506428,-0.3645656499793495,-0.4089531052545561,0.2810041142316354,4.0
24,1361,4096.0,1.0,61.63694747477603,82.89548773511912,1.4817001724404515,2.9587339580212824,3.6868227680661327,2.12389254998167,0.0082309953251587,-0.1124361104934058,-0.179048132490395,0.4419776501854809,-0.0991412922253337,32.0
25,1362,4096.0,1.0,12.40087676787612,50.3339047465855,1.889366403495296,0.4642467346313532,3.135640597791616,1.9801592866962985,-0.0049927795861749,-0.5780328815144142,-0.3489967854296195,0.1783729070883319,-0.0904185562499816,4.0
26,1363,4096.0,1.0,48.8249986095601,39.44044580317149,1.508715180282049,0.890553434942439,2.51011983543429,2.5949267624477512,0.0002147892085642,-0.442461874672894,0.1142281738763379,0.0785576768384568,-0.6875482709868848,8.0
27,1364,4096.0,1.0,33.114931393011936,95.87840515217778,2.2752880718544835,3.79824715015006,2.111514505292563,1.7228128145967738,-0.0013493838677923,0.2242590504380635,0.3793843416570228,-0.6271559062644861,-0.4202723699452529,1.0
28,1365,4096.0,1.0,311.54764844603625,32.08366267352414,0.8732803096591993,3.3038659641834305,2.3947372611459,2.2587151583459004,0.00752783306616,-0.144005075185674,0.7376934826611333,0.0429165576382594,0.2939162395981188,2.0
29,1366,4096.0,1.0,805.4278265472431,79.254598280149,2.316307527998968,2.682507904246391,2.2706415518622673,1.7547535918242114,0.0032764064721468,0.5079412145933095,-0.4208032816451988,-0.2332115339556296,0.0450318704004529,64.0
30,1367,4096.0,1.0,16.32709398949834,73.80603049035653,1.034681235506658,5.697501072404833,5.5930148183998,0.873895813449711,-0.0052768671610535,-0.2536299815636637,-0.4771212023235416,0.3295515322092849,-0.0784369699845746,4.0
31,1368,4096.0,1.0,82.96260480646853,10.846876183635596,1.5901504711225822,1.3049563187372903,2.3189180848233746,1.4580913382328364,0.0034292243229876,-0.4732607583576343,-0.0686103228189236,-0.4418503251467599,-0.7058794483599806,1.0
32,1369,4096.0,1.0,679.7758772313612,37.69971631051104,0.3761486472771712,3.0951667778506957,5.312183700514482,1.119960507326305,0.0069183793949102,-0.315602077058245,0.8317916236295597,0.2899114233515732,0.5407091559227559,16.0
33,1370,4096.0,1.0,99.39666910395026,54.870862999150475,0.8613084336671767,3.756440650663581,2.2567325113663346,2.292784138122657,0.0048792841203137,0.6536892912973673,0.5825147859981015,0.3626035075081797,-0.0935652216321814,2.0
34,1371,4096.0,1.0,832.0229127153196,28.33309681773547,1.0742458841484976,1.8966716250339009,0.6117045925792485,1.1814639369483475,0.008762974188075,0.3633189034715289,0.3123409411242621,0.9234134354713356,0.2759290800393998,4.0
