idx,seed,fs,T,f,snr,theta,phi,psi,iota,tau,FH_plus,FH_cross,FL_plus,FL_cross
1,1338,4096.0,1.0,363.8564657463784,63.44429211325164,1.8825507816284737,2.009354410577002,1.921013703613535,2.134454047418801,0.006181908311593289,-0.6245400210307019,-0.16650545970126654,-0.5934385488435081,0.0229143008680138
2,1339,4096.0,1.0,184.2036130822348,49.04330937171452,2.291741388137434,1.7790849234695758,6.003436357066342,2.815431869652464,0.002124894232595659,0.33816575535463955,-0.8113568807219305,0.26834188933968656,-0.30507879411303424
3,1340,4096.0,1.0,17.655339568556407,61.779984762830765,1.4868231733261623,5.30187963311243,1.7196444423725696,2.4401030099465215,-0.008062558805248126,-0.3649412745755094,-0.3495097777447548,-0.23169335741527727,-0.6625656834726394
4,1341,4096.0,1.0,13.21126298062665,29.473447259964335,0.6230690050269421,0.6697235462002059,4.064600040779358,1.966759786607907,0.0025503311196833434,0.014036212344678334,-0.5485579727707166,-0.5849287181619504,0.43142972671955926
5,1342,4096.0,1.0,663.9711720628057,52.421473919275876,2.952735638127878,4.337098776197472,3.5855543205660947,0.47673930123365815,-0.004997563470118548,0.6182701461614161,-0.4924523298465334,0.4881354586331584,0.4688283777379425
6,1343,4096.0,1.0,381.6917704754495,43.7711617523175,0.7119852825488534,3.6887897395699953,5.367116025958683,1.3352036216584113,0.0054753701360498,0.6206383932974887,0.6685456187217859,0.4264520971130432,-0.008396878504227767
7,1344,4096.0,1.0,31.51437229900329,29.664604179720076,1.0677687574342607,0.1730616462265,3.2306923937087806,1.7003554875485591,-0.002959432850832835,-0.25105853554950597,-0.4539688884181853,0.2549586419857622,0.5015241971013624
8,1345,4096.0,1.0,230.01125242616033,69.786001792116,2.303935981373634,4.8327678783274655,2.902266015330446,1.3258371091612569,-0.007781670280294601,0.3741094154589776,-0.22422806357097108,0.9403355858227885,0.2626723563369632
9,1346,4096.0,1.0,146.41441657146262,33.41846010954857,2.4995149043645877,3.1031015276225293,2.9445713940308496,2.3272436902818057,0.0006178356328405828,0.010485207287334875,0.6945656584675984,-0.20393534349790754,-0.37002999763196126
10,1347,4096.0,1.0,13.278821106028577,27.30695088253284,0.5908754580014327,3.411491590806637,5.869589211216241,1.4948095506288288,0.00672665023633274,-0.6360982629041675,0.6264478699073136,-0.03614889636489538,0.4841205435904684
